Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
1463f29f-2097-2616-78f1-20503e5fcede,2026-02-25,,999-11-8786,,,,Debbie941,,Hills818,,,,white,nonhispanic,F,Somerville  Massachusetts  US,541 Hegmann Well Suite 74,Duxbury,Massachusetts,Plymouth County,25023,02332,42.076639110144086,-70.74242968519658,347.38,0.00,331714
741f0850-eb1c-711a-95b1-d18202398208,1959-09-19,1961-01-27,999-28-2851,,,,Kerri159,Ashley34,Mitchell808,,,,white,nonhispanic,F,Hampden  Massachusetts  US,551 Ortiz Village Suite 49,Milford,Massachusetts,Worcester County,25027,01757,42.191270402671584,-71.54504956867747,19532.62,0.00,66935
adbcbd21-8f18-8fcf-ac18-ef3c20a45aee,2024-02-20,,999-75-8666,,,,Lidia103,,Fahey393,,,,white,nonhispanic,F,Revere  Massachusetts  US,457 Ryan Walk Suite 60,Lawrence,Massachusetts,Essex County,25009,01841,42.70885075036709,-71.20329104265113,400.00,7932.51,6276
be404619-f0b7-3b71-fa03-3695db658b3e,2017-09-20,,999-98-7219,,,,Rachal9,Flossie205,Emmerich580,,,,white,nonhispanic,F,Boston  Massachusetts  US,343 Stroman Port,Worcester,Massachusetts,Worcester County,25027,01602,42.26151156548311,-71.87105543302563,33800.96,4964.28,59185
346b49fc-c3e3-c9c2-d057-28a6387f26d1,2014-03-14,,999-16-7223,,,,Halley419,Syble581,Wunsch504,,,,white,nonhispanic,F,Harwich  Massachusetts  US,572 Streich Promenade,Uxbridge,Massachusetts,Worcester County,,00000,42.1039308428365,-71.64162244951919,33638.21,25846.11,94333
394933b4-e3f7-7973-e744-abbf08840c04,2012-10-27,,999-40-8978,,,,Brendan864,Dillon740,Marquardt819,,,,white,nonhispanic,M,Boston  Massachusetts  US,183 Prosacco Gate,Weymouth,Massachusetts,Norfolk County,25021,02188,42.22188998611473,-70.9233230288802,24500.99,34879.94,103548
cf83ae8e-201b-ede8-3901-9a78cf5fada0,2012-07-03,,999-30-2437,,,,Wilford267,Seymour882,Kuhn96,,,,black,nonhispanic,M,New Bedford  Massachusetts  US,348 Rau Glen,Barnstable,Massachusetts,Barnstable County,25001,02601,41.63096602927006,-70.46330049413164,40053.25,13610.70,36540
9cd41fc0-97a3-73f8-087f-70285b108c3f,2012-10-30,,999-96-8945,,,,Sonny285,Sammie902,Eichmann909,,,,white,nonhispanic,M,New Bedford  Massachusetts  US,188 Lowe Burg,Grafton,Massachusetts,Worcester County,,00000,42.216601195012906,-71.69286716449373,25917.24,5635.74,50864
bd7ac9fd-3b9d-8d94-149a-c714d509b2ca,1981-10-28,1996-09-04,999-81-3691,,,,Laurence43,,Rodriguez71,,,,white,nonhispanic,F,Haverhill  Massachusetts  US,789 Quitzon Trafficway,Attleboro,Massachusetts,Bristol County,44007,02861,41.979885703852446,-71.25214732934316,19692.87,39520.43,527623
6d20585d-067f-eb91-9d13-abb59a92a885,2010-12-24,,999-49-4199,,,,Juliane376,Corrina72,Schaefer657,,,,white,nonhispanic,F,Holyoke  Massachusetts  US,1030 Gulgowski Throughway Apt 48,Worcester,Massachusetts,Worcester County,25027,01604,42.315509628354896,-71.86420473049066,58133.86,272255.02,75276
5fc72ab9-84e5-1b59-a2b7-1d794d47a6e6,2018-09-18,,999-50-8536,,,,Barton704,Guy979,Dickinson688,,,,white,nonhispanic,M,Boston  Massachusetts  US,252 Nader Gate,Brookfield,Massachusetts,Worcester County,25027,01506,42.180899041586976,-72.13393970177329,31941.31,0.00,53190
a591490b-40e2-4ab8-9fb7-d59598d81db6,2005-06-05,,999-17-4860,S99960798,X30764672X,Mr.,Matt836,Cole117,Wisoky380,,,,white,nonhispanic,M,Groton  Massachusetts  US,265 Frami Route Unit 10,East Harwich,Massachusetts,Barnstable County,25001,02645,41.70846389227571,-70.01612353457674,50680.39,133999.35,105582
6cda5362-d6c8-1c6e-6894-49bf05c17cc1,2004-02-09,,999-14-9778,S99956588,X60257466X,Ms.,Isadora719,Evon528,Stanton715,,,,white,nonhispanic,F,Boston  Massachusetts  US,967 Reinger Orchard Apt 77,Marlborough,Massachusetts,Middlesex County,25017,01752,42.326194615308665,-71.52830868084666,80754.40,10610.19,139593
b55d7d54-0de4-2c19-0745-a2d315d5bc6f,2004-02-10,,999-68-7096,S99994389,X7901238X,Ms.,Randa356,Ozella681,Harvey63,,,,white,nonhispanic,F,Milford  Massachusetts  US,257 Trantow Lodge Apt 89,Boston,Massachusetts,Suffolk County,25025,02114,42.30523896703427,-71.03631154403382,82788.75,256938.28,30353
34d78a4a-ae25-b5b9-a056-4b0159386ae8,2003-03-27,,999-78-8238,S99943019,X78359715X,Ms.,Markita319,Jeanene972,Donnelly343,,,,white,nonhispanic,F,Worcester  Massachusetts  US,297 Rippin Spur Apt 84,Tewksbury,Massachusetts,Middlesex County,,00000,42.57590438238048,-71.24391999210864,20206.94,227471.34,25763
081363c7-de99-58a7-9598-34ca65e737a0,2012-09-05,,999-51-8915,,,,Jacquelin132,Daniela614,Robel940,,,,white,nonhispanic,F,Woburn  Massachusetts  US,833 Rowe Street,Buzzards Bay,Massachusetts,Barnstable County,25001,02532,41.74765842738135,-70.56825030770574,1917.68,35837.50,18951
6e122a4f-c46e-79a2-fbe8-0fb31b34fc03,2001-01-04,,999-99-4659,S99926430,X67849984X,Ms.,Jenelle653,Cicely661,Nikolaus26,,,,white,nonhispanic,F,Boston  Massachusetts  US,895 Casper View,Northampton,Massachusetts,Hampshire County,25015,01060,42.275310245104706,-72.7308030565494,114508.57,266566.99,59517
e47e2df1-08b6-1ab7-656d-9367b8e57e6e,1996-01-18,,999-83-1176,S99958572,X35583351X,Mrs.,Lissette621,Jamika47,Hickle134,,Walker122,M,white,nonhispanic,F,Stoughton  Massachusetts  US,115 Carroll Ranch,Boston,Massachusetts,Suffolk County,25025,02109,42.350703691703764,-71.05831883213897,8437.58,381255.18,17239
0a4aa403-ae9c-1e69-dcba-29274acdf9e5,1994-04-29,,999-15-3809,S99989567,X30866610X,Mr.,Alejandro916,Jesus702,Dach178,,,M,white,nonhispanic,M,Wilmington  Massachusetts  US,241 Kuphal Byway,Middleborough Center,Massachusetts,Plymouth County,,00000,41.92629818135672,-70.95158538159154,54668.90,9789.23,53183
60743887-89fd-6258-771e-e31c2a8cf340,2013-03-24,,999-74-8819,,,,Stefany238,Jessica140,Gusikowski974,,,,white,nonhispanic,F,Randolph  Massachusetts  US,227 Hegmann Landing,Oxford,Massachusetts,Worcester County,25027,01540,42.13101095556818,-71.82351513972598,56672.66,0.00,36668
e610c63e-f841-175a-8851-f5cab4e41132,2021-09-20,,999-35-1189,,,,Renato359,Elwood28,Walker122,,,,white,nonhispanic,M,Lexington  Massachusetts  US,1064 Conroy Camp,Fall River,Massachusetts,Bristol County,25005,02721,41.653526873869176,-71.01423907496205,11787.40,0.00,60711
188d92d5-421b-419b-b994-f1e551195b91,1993-10-07,,999-72-5011,S99929237,X43760230X,Mrs.,Britni406,Lilly908,Feeney44,,Emard19,M,asian,nonhispanic,F,Uxbridge  Massachusetts  US,122 Huels Dale,Brookline,Massachusetts,Norfolk County,25021,02445,42.31416391050317,-71.17957503372787,118060.52,78342.36,55835
